T=10, Nlin=20, Ndeme=3
noisemode=2
nonDB
5,  acc (%)= 0, lnLH=-nan(ind)
10,  acc (%)= 0, lnLH=-nan(ind)
15,  acc (%)= 0, lnLH=-nan(ind)
20,  acc (%)= 0, lnLH=-nan(ind)
25,  acc (%)= 0, lnLH=-nan(ind)
30,  acc (%)= 0, lnLH=-nan(ind)
35,  acc (%)= 0, lnLH=-nan(ind)
40,  acc (%)= 0, lnLH=-nan(ind)
45,  acc (%)= 0, lnLH=-nan(ind)
50,  acc (%)= 0, lnLH=-nan(ind)
55,  acc (%)= 0, lnLH=-nan(ind)
60,  acc (%)= 0, lnLH=-nan(ind)
65,  acc (%)= 0, lnLH=-nan(ind)
70,  acc (%)= 0, lnLH=-nan(ind)
75,  acc (%)= 0, lnLH=-nan(ind)
80,  acc (%)= 0, lnLH=-nan(ind)
85,  acc (%)= 0, lnLH=-nan(ind)
90,  acc (%)= 0, lnLH=-nan(ind)
95,  acc (%)= 0, lnLH=-nan(ind)
Run time: 8
